x(mm);doble 1;doble 2;doble 3;doble 4;doble 5;doble 6;izquierda 1;izquierda 2;izquierda 3;izquierda 4;izquierda 5;izquierda 6;derecha 1;derecha 2;derecha 3;derecha 4;derecha 5;derecha 6
2.41;204;162;164;204;168;198;88;104;84;102;90;84;56;74;82;62;78;76
2.42;148;164;186;158;166;174;102;82;88;98;106;118;78;54;76;58;58;76
2.43;148;160;154;138;164;130;106;112;96;100;102;106;60;80;74;60;62;80
2.44;156;158;116;156;138;120;124;80;102;100;86;100;82;74;62;62;66;84
2.45;124;140;112;124;124;132;106;94;104;116;98;96;72;94;70;78;70;84
2.46;114;84;130;112;122;118;98;88;104;114;94;84;80;72;58;76;80;70
2.47;114;116;108;106;80;122;112;102;104;98;102;122;54;64;70;90;74;82
2.48;94;98;86;90;80;92;100;92;112;96;90;88;74;72;68;80;88;64
2.49;78;78;80;78;64;66;100;114;90;102;108;104;88;70;66;92;90;70
2.50;60;68;88;76;72;78;78;98;114;100;112;112;76;68;72;66;64;76
2.51;66;52;68;52;48;58;102;106;112;108;102;110;70;58;92;68;66;70
2.52;46;54;56;44;36;44;76;82;102;94;110;126;82;76;82;68;64;62
2.53;42;32;34;44;38;32;98;104;92;118;104;106;80;78;68;66;72;92
2.54;30;30;32;20;22;34;84;116;120;96;76;112;80;62;76;78;76;86
2.55;18;30;18;18;16;24;112;100;94;96;116;98;84;92;86;62;70;76
2.56;20;14;24;22;10;16;112;82;106;98;116;108;76;68;84;84;64;88
2.57;12;14;16;14;12;14;92;96;92;78;92;108;88;58;68;78;74;60
2.58;8;6;4;6;2;6;114;94;96;108;96;90;66;92;64;70;84;78
2.59;0;8;4;2;2;2;98;104;100;90;112;110;72;66;96;62;76;90
2.60;4;2;4;0;2;0;94;108;98;108;112;114;72;98;80;80;86;64
2.61;2;0;2;4;0;2;112;120;98;104;96;114;68;82;76;84;88;78
2.62;4;2;4;0;2;2;114;104;90;100;72;82;86;94;86;66;80;86
2.63;2;4;2;2;2;0;102;100;100;92;88;90;76;74;88;74;82;84
2.64;6;4;8;8;6;2;102;98;110;112;96;110;78;88;82;70;74;68
2.65;12;2;12;8;6;8;126;94;88;84;100;90;80;78;72;102;68;68
2.66;10;4;14;10;10;14;106;86;100;100;96;104;94;94;92;62;80;70
2.67;14;20;12;12;12;28;106;90;112;108;106;104;78;64;90;70;82;76
